protein	gene	chrom	rates
NP_001278893.1	AFDN	6	data/rates/AFDN_NP_001278893.1.csv
NP_001155197.1	PPP2R5C	14	data/rates/PPP2R5C_NP_001155197.1.csv
NP_001161719.1	SLFNL1	1	data/rates/SLFNL1_NP_001161719.1.csv
NP_001284502.1	TRERF1	6	data/rates/TRERF1_NP_001284502.1.csv
NP_001138600.2	AK9	6	data/rates/AK9_NP_001138600.2.csv
NP_001009555.3	SH3D19	4	data/rates/SH3D19_NP_001009555.3.csv
NP_067054.1	CACTIN	19	data/rates/CACTIN_NP_067054.1.csv
NP_064611.3	PRDM8	4	data/rates/PRDM8_NP_064611.3.csv
NP_001093214.1	SYBU	8	data/rates/SYBU_NP_001093214.1.csv
NP_001269673.1	SPATS2L	2	data/rates/SPATS2L_NP_001269673.1.csv
NP_001244904.1	CIZ1	9	data/rates/CIZ1_NP_001244904.1.csv
NP_001245205.1	TMEM200A	6	data/rates/TMEM200A_NP_001245205.1.csv
NP_060457.4	RUFY2	10	data/rates/RUFY2_NP_060457.4.csv
NP_001139400.1	SAP130	2	data/rates/SAP130_NP_001139400.1.csv
NP_001273560.1	RBM26	13	data/rates/RBM26_NP_001273560.1.csv
NP_001162625.1	DNAAF6	X	data/rates/PIH1D3_NP_001162625.1.csv
NP_001156895.1	ZNF580	19	data/rates/ZNF580_NP_001156895.1.csv
NP_077012.2	TMUB2	17	data/rates/TMUB2_NP_077012.2.csv
NP_001035055.1	GPER1	7	data/rates/GPER1_NP_001035055.1.csv
NP_996759.1	PPP1CB	2	data/rates/PPP1CB_NP_996759.1.csv
NP_001020105.1	WASF1	6	data/rates/WASF1_NP_001020105.1.csv
NP_001156729.1	PLXNB3	X	data/rates/PLXNB3_NP_001156729.1.csv
NP_001137378.1	TRAFD1	12	data/rates/TRAFD1_NP_001137378.1.csv
NP_001247420.1	SLC9A8	20	data/rates/SLC9A8_NP_001247420.1.csv
NP_001265564.1	IRX4	5	data/rates/IRX4_NP_001265564.1.csv
NP_001018080.1	CORO1B	11	data/rates/CORO1B_NP_001018080.1.csv
NP_001106832.1	TBC1D14	4	data/rates/TBC1D14_NP_001106832.1.csv
NP_001274419.1	AUNIP	1	data/rates/AUNIP_NP_001274419.1.csv
NP_001136358.1	EPHX3	19	data/rates/EPHX3_NP_001136358.1.csv
NP_001268358.1	PCED1B	12	data/rates/PCED1B_NP_001268358.1.csv
NP_001258777.1	ZNF700	19	data/rates/ZNF763_NP_001258777.1.csv
NP_001166173.1	SLC38A6	14	data/rates/SLC38A6_NP_001166173.1.csv
NP_001274181.1	CCNI2	5	data/rates/SEPT8_NP_001274181.1.csv
NP_001123514.1	CRYZ	1	data/rates/CRYZ_NP_001123514.1.csv
NP_620602.2	MAPK7	17	data/rates/MAPK7_NP_620602.2.csv
NP_853536.2	RFC3	13	data/rates/RFC3_NP_853536.2.csv
NP_001159588.1	TMOD1	9	data/rates/TMOD1_NP_001159588.1.csv
NP_001273201.1	TPT1	13	data/rates/TPT1_NP_001273201.1.csv
NP_001240605.1	TBPL1	6	data/rates/TBPL1_NP_001240605.1.csv
NP_001265138.1	NUP153	6	data/rates/NUP153_NP_001265138.1.csv
NP_001229755.1	RNF41	12	data/rates/RNF41_NP_001229755.1.csv
NP_001167623.1	RABEPK	9	data/rates/RABEPK_NP_001167623.1.csv
NP_001264693.1	CIB1	15	data/rates/CIB1_NP_001264693.1.csv
NP_001294868.1	ARID3B	15	data/rates/ARID3B_NP_001294868.1.csv
NP_001138521.1	GPN1	2	data/rates/GPN1_NP_001138521.1.csv
NP_031363.2	DLEC1	3	data/rates/DLEC1_NP_031363.2.csv
NP_001229766.1	AP2A2	11	data/rates/AP2A2_NP_001229766.1.csv
NP_001294852.1	SERPINB13	18	data/rates/SERPINB13_NP_001294852.1.csv
NP_938147.1	P2RY10	X	data/rates/P2RY10_NP_938147.1.csv
NP_001077090.1	ZBTB40	1	data/rates/ZBTB40_NP_001077090.1.csv
NP_001265858.1	PPWD1	5	data/rates/PPWD1_NP_001265858.1.csv
NP_001120954.1	SPRYD7	13	data/rates/SPRYD7_NP_001120954.1.csv
NP_001135825.1	PPP3CB	10	data/rates/PPP3CB_NP_001135825.1.csv
NP_001269881.1	COPS7B	2	data/rates/COPS7B_NP_001269881.1.csv
NP_001243328.1	ELOVL1	1	data/rates/ELOVL1_NP_001243328.1.csv
NP_001243300.1	E2F8	11	data/rates/E2F8_NP_001243300.1.csv
NP_001153695.1	RNF170	8	data/rates/RNF170_NP_001153695.1.csv
NP_001258914.1	PUS3	11	data/rates/PUS3_NP_001258914.1.csv
NP_001248387.1	ZNF484	9	data/rates/ZNF484_NP_001248387.1.csv
NP_001229543.1	CD99L2	X	data/rates/CD99L2_NP_001229543.1.csv
NP_001274687.1	COL4A6	X	data/rates/COL4A6_NP_001274687.1.csv
NP_001273965.1	KIAA1958	9	data/rates/KIAA1958_NP_001273965.1.csv
NP_001317157.1	WDR20	14	data/rates/WDR20_NP_001317157.1.csv
NP_001158504.1	RNF182	6	data/rates/RNF182_NP_001158504.1.csv
NP_001229758.1	IP6K1	3	data/rates/IP6K1_NP_001229758.1.csv
NP_001006115.1	IP6K1	3	data/rates/IP6K1_NP_001006115.1.csv
NP_001229475.1	ANAPC16	10	data/rates/ANAPC16_NP_001229475.1.csv
NP_001138405.1	EFCAB3	17	data/rates/EFCAB3_NP_001138405.1.csv
NP_001248392.1	NRAP	10	data/rates/NRAP_NP_001248392.1.csv
NP_001229729.1	ZNF790	19	data/rates/ZNF790_NP_001229729.1.csv
NP_001116827.1	PPP6C	9	data/rates/PPP6C_NP_001116827.1.csv
NP_001257894.1	PSD	10	data/rates/PSD_NP_001257894.1.csv
NP_001129584.1	CASP5	11	data/rates/CASP5_NP_001129584.1.csv
NP_001269901.1	SEPTIN2	2	data/rates/SEPT2_NP_001269901.1.csv
NP_001271317.1	NOLC1	10	data/rates/NOLC1_NP_001271317.1.csv
NP_001138810.1	ZBTB22	6	data/rates/ZBTB22_NP_001138810.1.csv
NP_001317568.1	SIRPB1	20	data/rates/SIRPB1_NP_001317568.1.csv
NP_001265270.1	MCRS1	12	data/rates/MCRS1_NP_001265270.1.csv
NP_001161792.1	TSPAN9	12	data/rates/TSPAN9_NP_001161792.1.csv
NP_001070913.1	JADE3	X	data/rates/JADE3_NP_001070913.1.csv
NP_001269964.1	RTF2	20	data/rates/RTF2_NP_001269964.1.csv
NP_001073349.1	PRKD2	19	data/rates/PRKD2_NP_001073349.1.csv
NP_001177926.1	SLC6A13	12	data/rates/SLC6A13_NP_001177926.1.csv
NP_001229298.1	CACFD1	9	data/rates/CACFD1_NP_001229298.1.csv
NP_001186512.1	PACSIN1	6	data/rates/PACSIN1_NP_001186512.1.csv
NP_001243299.1	SAMSN1	21	data/rates/SAMSN1_NP_001243299.1.csv
NP_001257514.1	IQCA1	2	data/rates/IQCA1_NP_001257514.1.csv
NP_001276017.1	ZMYM1	1	data/rates/ZMYM1_NP_001276017.1.csv
NP_001265586.1	POLDIP3	22	data/rates/POLDIP3_NP_001265586.1.csv
NP_001243478.1	PCGF5	10	data/rates/PCGF5_NP_001243478.1.csv
NP_001123356.1	TEX264	3	data/rates/TEX264_NP_001123356.1.csv
NP_001243666.1	GDAP1L1	20	data/rates/GDAP1L1_NP_001243666.1.csv
NP_001243669.1	GDAP1L1	20	data/rates/GDAP1L1_NP_001243669.1.csv
NP_001255213.1	LRRC8E	19	data/rates/LRRC8E_NP_001255213.1.csv
NP_001268450.1	MCM8	20	data/rates/MCM8_NP_001268450.1.csv
NP_001231889.1	FRMD3	9	data/rates/FRMD3_NP_001231889.1.csv
NP_001008534.1	AKAP14	X	data/rates/AKAP14_NP_001008534.1.csv
NP_003584.2	FOXN1	17	data/rates/FOXN1_NP_003584.2.csv
NP_056423.2	EDRF1	10	data/rates/EDRF1_NP_056423.2.csv
NP_116260.2	RELT	11	data/rates/RELT_NP_116260.2.csv
NP_001269793.1	SLC2A11	22	data/rates/SLC2A11_NP_001269793.1.csv
NP_001243546.1	TUBGCP2	10	data/rates/TUBGCP2_NP_001243546.1.csv
NP_001257927.1	ZFAND2B	2	data/rates/ZFAND2B_NP_001257927.1.csv
NP_001191397.1	RBM10	X	data/rates/RBM10_NP_001191397.1.csv
NP_001193580.1	SH3GLB1	1	data/rates/SH3GLB1_NP_001193580.1.csv
NP_001268387.1	SLC35C2	20	data/rates/SLC35C2_NP_001268387.1.csv
NP_001008563.2	USP20	9	data/rates/USP20_NP_001008563.2.csv
NP_001013870.1	EXOC6	10	data/rates/EXOC6_NP_001013870.1.csv
NP_001138554.1	ZNF619	3	data/rates/ZNF619_NP_001138554.1.csv
NP_001164432.1	IGSF1	X	data/rates/IGSF1_NP_001164432.1.csv
NP_001165464.1	HPD	12	data/rates/HPD_NP_001165464.1.csv
NP_001186444.1	TGIF2	20	data/rates/TGIF2_NP_001186444.1.csv
NP_001191229.1	ARHGAP19	10	data/rates/ARHGAP19_NP_001191229.1.csv
NP_001229371.2	GRB7	17	data/rates/GRB7_NP_001229371.2.csv
NP_001230713.1	PDE2A	11	data/rates/PDE2A_NP_001230713.1.csv
NP_001238833.1	APPL2	12	data/rates/APPL2_NP_001238833.1.csv
NP_001243355.2	PDLIM5	4	data/rates/PDLIM5_NP_001243355.2.csv
NP_001243805.1	KANK1	9	data/rates/KANK1_NP_001243805.1.csv
NP_001245150.1	KCTD1	18	data/rates/KCTD1_NP_001245150.1.csv
NP_001247417.2	ZNF155	19	data/rates/ZNF155_NP_001247417.2.csv
NP_001257809.1	GNPDA2	4	data/rates/GNPDA2_NP_001257809.1.csv
NP_001258835.1	GSKIP	14	data/rates/GSKIP_NP_001258835.1.csv
NP_001258941.1	ITPRIP	10	data/rates/ITPRIP_NP_001258941.1.csv
NP_001265190.1	CARHSP1	16	data/rates/CARHSP1_NP_001265190.1.csv
NP_001265409.1	SUPT20H	13	data/rates/SUPT20H_NP_001265409.1.csv
NP_001269677.1	TLE4	9	data/rates/TLE4_NP_001269677.1.csv
NP_001275705.2	E4F1	16	data/rates/E4F1_NP_001275705.2.csv
NP_001284579.2	CD163L1	12	data/rates/CD163L1_NP_001284579.2.csv
NP_001284527.1	MIER3	5	data/rates/MIER3_NP_001284527.1.csv
NP_001287797.1	SLC29A2	11	data/rates/SLC29A2_NP_001287797.1.csv
NP_001287869.2	KICS2	12	data/rates/C12orf66_NP_001287869.2.csv
NP_001295197.1	PTPRN2	7	data/rates/PTPRN2_NP_001295197.1.csv
NP_001307245.2	CFAP91	3	data/rates/MAATS1_NP_001307245.2.csv
NP_001308357.1	TMBIM1	2	data/rates/TMBIM1_NP_001308357.1.csv
NP_001309043.2	UGT8	4	data/rates/UGT8_NP_001309043.2.csv
NP_001309317.2	ENTPD6	20	data/rates/ENTPD6_NP_001309317.2.csv
NP_001309327.2	ENTPD6	20	data/rates/ENTPD6_NP_001309327.2.csv
NP_001317284.1	FBXO44	1	data/rates/FBXO44_NP_001317284.1.csv
NP_001317415.1	PREB	2	data/rates/PREB_NP_001317415.1.csv
NP_001333074.1	FLRT2	14	data/rates/FLRT2_NP_001333074.1.csv
NP_001339893.1	DENND1A	9	data/rates/DENND1A_NP_001339893.1.csv
NP_056118.2	VPS8	3	data/rates/VPS8_NP_056118.2.csv
NP_056130.2	LARP1	5	data/rates/LARP1_NP_056130.2.csv
NP_060411.3	C17orf80	17	data/rates/C17orf80_NP_060411.3.csv
NP_071386.3	ZNF667	19	data/rates/ZNF667_NP_071386.3.csv
NP_115674.1	SYT3	19	data/rates/SYT3_NP_115674.1.csv
NP_848612.2	PIGW	17	data/rates/PIGW_NP_848612.2.csv
NP_937861.1	ING1	13	data/rates/ING1_NP_937861.1.csv
NP_963868.3	SLC4A3	2	data/rates/SLC4A3_NP_963868.3.csv
NP_001271209.1	PPP4R3A	14	data/rates/PPP4R3A_NP_001271209.1.csv
NP_001012993.1	RNASE10	14	data/rates/RNASE10_NP_001012993.1.csv
NP_001005175.3	OR52N4	11	data/rates/OR52N4_NP_001005175.3.csv
NP_072174.3	TNS1	2	data/rates/TNS1_NP_072174.3.csv
NP_659444.2	NLRP11	19	data/rates/NLRP11_NP_659444.2.csv
NP_001373717.1	DTNA	18	data/rates/DTNA_NP_001373717.1.csv
NP_001373817.1	AFDN	6	data/rates/AFDN_NP_001373817.1.csv
NP_060858.2	MBNL3	X	data/rates/MBNL3_NP_060858.2.csv
NP_001373820.1	MBNL3	X	data/rates/MBNL3_NP_001373820.1.csv
NP_001373855.1	SLCO1A2	12	data/rates/SLCO1A2_NP_001373855.1.csv
NP_003762.1	KRT36	17	data/rates/KRT36_NP_003762.1.csv
NP_068751.4	RIC8A	11	data/rates/RIC8A_NP_068751.4.csv
NP_001305180.1	XKR3	22	data/rates/XKR3_NP_001305180.1.csv
NP_002239.2	KCNN1	19	data/rates/KCNN1_NP_002239.2.csv
NP_001373905.1	KCNN1	19	data/rates/KCNN1_NP_001373905.1.csv
NP_001373930.1	N4BP2L2	13	data/rates/N4BP2L2_NP_001373930.1.csv
NP_001244960.1	SERINC4	15	data/rates/SERINC4_NP_001244960.1.csv
NP_001374016.1	SYT16	14	data/rates/SYT16_NP_001374016.1.csv
NP_001073991.2	CC2D2A	4	data/rates/CC2D2A_NP_001073991.2.csv
NP_115524.3	SLC41A2	12	data/rates/SLC41A2_NP_115524.3.csv
NP_001374068.1	DNASE1	16	data/rates/DNASE1_NP_001374068.1.csv
NP_689654.1	FBXL14	12	data/rates/FBXL14_NP_689654.1.csv
NP_001374081.1	MIER2	19	data/rates/MIER2_NP_001374081.1.csv
NP_663760.1	ATXN2L	16	data/rates/ATXN2L_NP_663760.1.csv
NP_001374095.1	ATXN2L	16	data/rates/ATXN2L_NP_001374095.1.csv
NP_543013.1	SRMS	20	data/rates/SRM_NP_543013.1.csv
NP_001374130.1	DEPDC4	12	data/rates/DEPDC4_NP_001374130.1.csv
NP_001138483.1	C16orf96	16	data/rates/C16orf96_NP_001138483.1.csv
NP_001004316.2	LEKR1	3	data/rates/LEKR1_NP_001004316.2.csv
NP_001374203.1	DCDC1	11	data/rates/DCDC1_NP_001374203.1.csv
NP_056471.1	KIF26A	14	data/rates/KIF26A_NP_056471.1.csv
NP_001374224.1	ZNF133	20	data/rates/ZNF133_NP_001374224.1.csv
NP_055978.4	TRIM9	14	data/rates/TRIM9_NP_055978.4.csv
NP_000910.2	PAM	5	data/rates/PAM_NP_000910.2.csv
NP_001374706.1	TNS1	2	data/rates/TNS1_NP_001374706.1.csv
NP_002271.3	KRT35	17	data/rates/KRT35_NP_002271.3.csv
NP_001375076.1	MBD1	18	data/rates/MBD1_NP_001375076.1.csv
NP_001339115.1	ANKS1B	12	data/rates/ANKS1B_NP_001339115.1.csv
NP_001375201.1	SH2D4B	10	data/rates/SH2D4B_NP_001375201.1.csv
NP_001264929.1	LPAR4	X	data/rates/LPAR4_NP_001264929.1.csv
NP_932340.4	OR2C3	1	data/rates/OR2C3_NP_932340.4.csv
NP_892120.2	UBXN11	1	data/rates/UBXN11_NP_892120.2.csv
NP_001073927.1	EVX2	2	data/rates/EVX2_NP_001073927.1.csv
NP_671726.2	GLIS1	1	data/rates/GLIS1_NP_671726.2.csv
NP_001127958.1	GBP5	1	data/rates/GBP5_NP_001127958.1.csv
NP_001073960.1	USP6NL	10	data/rates/USP6NL_NP_001073960.1.csv
NP_001269323.1	WNK2	9	data/rates/WNK2_NP_001269323.1.csv
NP_001180265.2	SEC14L6	22	data/rates/SEC14L6_NP_001180265.2.csv
NP_150229.2	ABCC12	16	data/rates/ABCC12_NP_150229.2.csv
NP_001303886.1	AAMDC	11	data/rates/AAMDC_NP_001303886.1.csv
NP_001096078.1	COL6A6	3	data/rates/COL6A6_NP_001096078.1.csv
NP_001287959.1	GRIK5	19	data/rates/GRIK5_NP_001287959.1.csv
NP_001340952.1	ANKMY1	2	data/rates/ANKMY1_NP_001340952.1.csv
NP_001550.1	IL12RB2	1	data/rates/IL12RB2_NP_001550.1.csv
NP_997721.2	ASB18	2	data/rates/ASB18_NP_997721.2.csv
NP_079527.1	ARHGAP39	8	data/rates/ARHGAP39_NP_079527.1.csv
NP_001073929.1	LRRIQ4	3	data/rates/LRRIQ4_NP_001073929.1.csv
NP_001186583.1	PMF1	1	data/rates/PMF1_NP_001186583.1.csv
NP_001354763.1	ZSWIM4	19	data/rates/ZSWIM4_NP_001354763.1.csv
NP_036363.2	PRDM2	1	data/rates/PRDM2_NP_036363.2.csv
NP_065697.1	ASCL3	11	data/rates/ASCL3_NP_065697.1.csv
NP_001186077.1	SLC38A11	2	data/rates/SLC38A11_NP_001186077.1.csv
NP_848645.3	CCDC190	1	data/rates/CCDC190_NP_848645.3.csv
NP_055062.1	RAPGEF2	4	data/rates/RAPGEF2_NP_055062.1.csv
NP_001180449.1	RASAL1	12	data/rates/RASAL1_NP_001180449.1.csv
NP_001034842.2	EML6	2	data/rates/EML6_NP_001034842.2.csv
NP_001071062.1	EXOC3L4	14	data/rates/EXOC3L4_NP_001071062.1.csv
NP_001364961.1	SNX25	4	data/rates/SNX25_NP_001364961.1.csv
NP_001257700.1	SORBS2	4	data/rates/SORBS2_NP_001257700.1.csv
NP_001026864.1	SCMH1	1	data/rates/SCMH1_NP_001026864.1.csv
NP_001074306.3	SEBOX	17	data/rates/VTN_NP_001074306.3.csv
NP_001028725.1	SPECC1	17	data/rates/SPECC1_NP_001028725.1.csv
NP_001035987.1	SPRED3	19	data/rates/SPRED3_NP_001035987.1.csv
NP_001291405.1	STXBP6	14	data/rates/STXBP6_NP_001291405.1.csv
NP_001306122.1	FBF1	17	data/rates/FBF1_NP_001306122.1.csv
NP_001156425.1	SYTL2	11	data/rates/SYTL2_NP_001156425.1.csv
NP_001137452.1	CCDC154	16	data/rates/CCDC154_NP_001137452.1.csv
NP_001159751.2	PAN2	12	data/rates/PAN2_NP_001159751.2.csv
NP_001308018.1	GPS1	17	data/rates/GPS1_NP_001308018.1.csv
NP_997657.1	GPS1	17	data/rates/GPS1_NP_997657.1.csv
NP_001138590.1	GRID2IP	7	data/rates/GRID2IP_NP_001138590.1.csv
NP_940880.3	NKPD1	19	data/rates/NKPD1_NP_940880.3.csv
NP_001338653.1	RAPGEF2	4	data/rates/RAPGEF2_NP_001338653.1.csv
NP_689747.3	NEK10	3	data/rates/NEK10_NP_689747.3.csv
NP_001340273.1	C2orf78	2	data/rates/C2orf78_NP_001340273.1.csv
NP_963840.2	CDCP2	1	data/rates/CDCP2_NP_963840.2.csv
NP_001304765.1	PCGF3	4	data/rates/PCGF3_NP_001304765.1.csv
NP_001074319.1	CCDC30	1	data/rates/CCDC30_NP_001074319.1.csv
NP_001073678.1	TMEM200C	18	data/rates/TMEM200C_NP_001073678.1.csv
NP_361013.3	LUZP1	1	data/rates/LUZP1_NP_361013.3.csv
NP_001352525.1	PRPF40A	2	data/rates/PRPF40A_NP_001352525.1.csv
NP_060362.3	PRPF40A	2	data/rates/PRPF40A_NP_060362.3.csv
NP_001007023.2	ODF2L	1	data/rates/ODF2L_NP_001007023.2.csv
NP_001372638.1	PABPN1L	16	data/rates/PABPN1L_NP_001372638.1.csv
NP_665893.2	PIDD1	11	data/rates/PIDD1_NP_665893.2.csv
NP_734466.1	H2AC1	6	data/rates/HIST1H2AA_NP_734466.1.csv
NP_003368.1	VEGFB	11	data/rates/VEGFB_NP_003368.1.csv
NP_061896.1	PRMT7	16	data/rates/PRMT7_NP_061896.1.csv
NP_001073948.2	ARHGEF28	5	data/rates/ARHGEF28_NP_001073948.2.csv
NP_001269598.1	DFFB	1	data/rates/DFFB_NP_001269598.1.csv
NP_001948.1	EDNRA	4	data/rates/EDNRA_NP_001948.1.csv
NP_694949.1	TMEM174	5	data/rates/TMEM174_NP_694949.1.csv
NP_001352193.1	ESRP2	16	data/rates/ESRP2_NP_001352193.1.csv
NP_112738.1	HNRNPD	4	data/rates/HNRNPD_NP_112738.1.csv
NP_000403.1	HRG	3	data/rates/HRG_NP_000403.1.csv
NP_001186826.1	LAMP5	20	data/rates/LAMP5_NP_001186826.1.csv
NP_057306.2	DDX41	5	data/rates/DDX41_NP_057306.2.csv
NP_001160135.1	CD244	1	data/rates/CD244_NP_001160135.1.csv
NP_001374951.1	TRIM66	11	data/rates/TRIM66_NP_001374951.1.csv
NP_003460.2	SCG2	2	data/rates/SCG2_NP_003460.2.csv
NP_001229817.2	DDC	7	data/rates/DDC_NP_001229817.2.csv
NP_065083.3	AGTRAP	1	data/rates/AGTRAP_NP_065083.3.csv
NP_000200.1	PDX1	13	data/rates/PDX1_NP_000200.1.csv
NP_005996.2	WFS1	4	data/rates/WFS1_NP_005996.2.csv
NP_055497.1	ST18	8	data/rates/ST18_NP_055497.1.csv
NP_055523.1	KNTC1	12	data/rates/KNTC1_NP_055523.1.csv
NP_112737.1	HNRNPD	4	data/rates/HNRNPD_NP_112737.1.csv
NP_001091672.1	HIC1	17	data/rates/HIC1_NP_001091672.1.csv
NP_056541.2	DCAF8	1	data/rates/DCAF8_NP_056541.2.csv
NP_001026883.1	MCUR1	6	data/rates/MCUR1_NP_001026883.1.csv
NP_001819.2	CLC	19	data/rates/CLC_NP_001819.2.csv
NP_055310.1	ANGPTL3	1	data/rates/ANGPTL3_NP_055310.1.csv
NP_001078923.1	GIT1	17	data/rates/GIT1_NP_001078923.1.csv
NP_000313.2	PRPH2	6	data/rates/PRPH_NP_000313.2.csv
NP_002960.2	MAPK12	22	data/rates/MAPK12_NP_002960.2.csv
NP_001338073.1	PRMT7	16	data/rates/PRMT7_NP_001338073.1.csv
NP_000781.2	DDC	7	data/rates/DDC_NP_000781.2.csv
NP_057466.1	CD244	1	data/rates/CD244_NP_057466.1.csv
NP_006745.1	SYPL1	7	data/rates/SYPL1_NP_006745.1.csv
NP_005564.1	LMNB1	5	data/rates/LMNB1_NP_005564.1.csv
NP_653177.3	COQ10A	12	data/rates/COQ10A_NP_653177.3.csv
NP_115612.4	USP48	1	data/rates/USP48_NP_115612.4.csv
NP_001994.2	FCN1	9	data/rates/FCN1_NP_001994.2.csv
NP_079423.1	COQ10B	2	data/rates/COQ10B_NP_079423.1.csv
NP_055782.3	FAN1	15	data/rates/FAN1_NP_055782.3.csv
NP_001341665.1	PFKM	12	data/rates/PFKM_NP_001341665.1.csv
NP_057532.4	DTL	1	data/rates/DTL_NP_057532.4.csv
NP_061848.2	TERF2IP	16	data/rates/TERF2IP_NP_061848.2.csv
NP_001076003.1	CA10	17	data/rates/CA10_NP_001076003.1.csv
NP_001091639.1	BSX	11	data/rates/BSX_NP_001091639.1.csv
NP_689522.2	PIK3AP1	10	data/rates/PIK3AP1_NP_689522.2.csv
NP_001131.3	ALOX15	17	data/rates/ALOX15_NP_001131.3.csv
NP_059113.1	GALNT8	12	data/rates/GALNT8_NP_059113.1.csv
NP_077271.1	DERL1	8	data/rates/DERL1_NP_077271.1.csv
NP_062547.1	SUSD2	22	data/rates/SUSD2_NP_062547.1.csv
NP_002885.1	RBBP8	18	data/rates/RBBP8_NP_002885.1.csv
NP_055633.1	TRIM66	11	data/rates/TRIM66_NP_055633.1.csv
NP_659399.2	PEBP4	8	data/rates/PEBP4_NP_659399.2.csv
NP_703147.2	B4GALNT2	17	data/rates/B4GALNT2_NP_703147.2.csv
NP_001191382.1	PSMC2	7	data/rates/PSMC2_NP_001191382.1.csv
NP_001493.2	GP2	16	data/rates/GP2_NP_001493.2.csv
NP_742067.3	UBR3	2	data/rates/UBR3_NP_742067.3.csv
NP_958839.1	GAS7	17	data/rates/GAS7_NP_958839.1.csv
NP_079215.2	ESRP2	16	data/rates/ESRP2_NP_079215.2.csv
NP_000174.1	HADHB	2	data/rates/HADHB_NP_000174.1.csv
NP_001941.2	E2F4	16	data/rates/E2F4_NP_001941.2.csv
NP_443122.3	PGLYRP2	19	data/rates/PGLYRP2_NP_443122.3.csv
NP_067081.2	IL22RA1	1	data/rates/IL22RA1_NP_067081.2.csv
NP_006860.2	ADAP1	7	data/rates/ADAP1_NP_006860.2.csv
NP_055902.1	SPART	13	data/rates/SPART_NP_055902.1.csv
NP_001185791.1	PACC1	1	data/rates/TMEM206_NP_001185791.1.csv
NP_055922.1	PHF8	X	data/rates/PHF8_NP_055922.1.csv
NP_006200.3	ENPP2	8	data/rates/ENPP2_NP_006200.3.csv
NP_067637.2	HRH4	18	data/rates/HRH4_NP_067637.2.csv
NP_001093203.1	ADCYAP1	18	data/rates/ADCYAP1_NP_001093203.1.csv
NP_055668.2	SGSM2	17	data/rates/SGSM2_NP_055668.2.csv
NP_006627.2	MTHFD2	2	data/rates/MTHFD2_NP_006627.2.csv
NP_001186778.1	DAP3	1	data/rates/DAP3_NP_001186778.1.csv
NP_005730.2	RASGRP1	15	data/rates/RASGRP1_NP_005730.2.csv
NP_001091669.1	CMKLR2	2	data/rates/GPR1_NP_001091669.1.csv
NP_001032354.1	GGPS1	1	data/rates/GGPS1_NP_001032354.1.csv
NP_705842.2	DNAJB13	11	data/rates/DNAJB13_NP_705842.2.csv
NP_001160.2	AQP8	16	data/rates/AQP8_NP_001160.2.csv
NP_064733.3	ACVR1B	12	data/rates/ACVR1B_NP_064733.3.csv
NP_001004317.1	LIN28B	6	data/rates/LIN28B_NP_001004317.1.csv
NP_817123.1	DSG4	18	data/rates/DSG4_NP_817123.1.csv
NP_004742.1	GCNT3	15	data/rates/GCNT3_NP_004742.1.csv
NP_006413.4	AKAP3	12	data/rates/AKAP3_NP_006413.4.csv
NP_078772.1	IRF2BPL	14	data/rates/IRF2BPL_NP_078772.1.csv
NP_036442.3	KIF4A	X	data/rates/KIF4A_NP_036442.3.csv
NP_006186.1	PBX3	9	data/rates/PBX3_NP_006186.1.csv
NP_036244.2	TPX2	20	data/rates/TPX2_NP_036244.2.csv
NP_005140.1	TBX19	1	data/rates/TBX19_NP_005140.1.csv
NP_004293.1	ACVR1B	12	data/rates/ACVR1B_NP_004293.1.csv
NP_620161.1	CD200R1	3	data/rates/CD200R1_NP_620161.1.csv
NP_001123952.1	VRK2	2	data/rates/VRK2_NP_001123952.1.csv
NP_006218.1	PLTP	20	data/rates/PLTP_NP_006218.1.csv
NP_001243793.1	DNAJC6	1	data/rates/DNAJC6_NP_001243793.1.csv
NP_001333416.1	TAOK3	12	data/rates/TAOK3_NP_001333416.1.csv
NP_001034706.1	ZDHHC19	3	data/rates/ZDHHC19_NP_001034706.1.csv
NP_001015878.1	AURKC	19	data/rates/AURKC_NP_001015878.1.csv
NP_057365.3	TAOK3	12	data/rates/TAOK3_NP_057365.3.csv
NP_997235.3	CYP4V2	4	data/rates/CYP4V2_NP_997235.3.csv
NP_004139.2	NINJ1	9	data/rates/NINJ1_NP_004139.2.csv
NP_001229243.1	MAP3K13	3	data/rates/MAP3K13_NP_001229243.1.csv
NP_066013.1	IGDCC4	15	data/rates/IGDCC4_NP_066013.1.csv
NP_001350643.1	ZMYND8	20	data/rates/ZMYND8_NP_001350643.1.csv
NP_001171825.1	PHF8	X	data/rates/PHF8_NP_001171825.1.csv
NP_002794.1	PSMC2	7	data/rates/PSMC2_NP_002794.1.csv
NP_055022.2	CD5	11	data/rates/CD5_NP_055022.2.csv
NP_004161.4	SLC1A1	9	data/rates/SLC1A1_NP_004161.4.csv
NP_057712.2	WAC	10	data/rates/WAC_NP_057712.2.csv
NP_079199.2	NUP210	3	data/rates/NUP210_NP_079199.2.csv
NP_001036214.1	STAG2	X	data/rates/STAG2_NP_001036214.1.csv
NP_001350475.1	PGLYRP2	19	data/rates/PGLYRP2_NP_001350475.1.csv
NP_001307061.1	DFFB	1	data/rates/DFFB_NP_001307061.1.csv
NP_001273719.1	CNOT6L	4	data/rates/CNOT6L_NP_001273719.1.csv
